,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,reno,sqft_living_times_grade,condition_div_grade,bathrooms_sq,median_by_zip,Closest_WF
0,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1955,0.0,47.5112,-122.257,1340,0,8260,0.42857142857142855,1.0,60839.0,12.09
1,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,47.721,-122.319,1690,1,17990,0.42857142857142855,5.0625,54561.0,10.29
2,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,0.0,47.7379,-122.233,2720,0,4620,0.5,1.0,90588.0,9.59
3,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,0.0,47.5208,-122.393,1360,0,13720,0.7142857142857143,9.0,90625.0,12.99
4,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1987,0.0,47.6168,-122.045,1800,0,13440,0.375,4.0,145262.0,6.93
5,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,2001,0.0,47.6561,-122.005,4760,0,59620,0.2727272727272727,20.25,120970.0,7.27
6,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,291.85172397483797,1995,0.0,47.3097,-122.327,2238,0,12005,0.42857142857142855,5.0625,46250.0,35.06
7,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,0.0,47.4095,-122.315,1650,0,7420,0.42857142857142855,2.25,55845.0,24.2
8,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,0.0,47.5123,-122.337,1780,0,12460,0.42857142857142855,1.0,58429.0,14.21
9,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,0.0,47.3684,-122.031,2390,0,13230,0.42857142857142855,6.25,96134.0,30.09
10,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,1965,0.0,47.6007,-122.145,2210,0,28480,0.375,6.25,79579.0,3.6
11,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,0.0,47.69,-122.292,1330,0,8120,0.5714285714285714,1.0,92039.0,8.67
12,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,0.0,47.7558,-122.229,1780,0,10010,0.5714285714285714,1.0,90588.0,7.84
13,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,0.0,47.6127,-122.045,1370,0,9590,0.5714285714285714,3.0625,145262.0,7.3
14,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1900,0.0,47.67,-122.394,1360,0,12670,0.42857142857142855,4.0,77170.0,3.86
15,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,0.0,47.5714,-122.375,2140,0,26550,0.3333333333333333,9.0,68342.0,7.32
16,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,0.0,47.7277,-121.962,1890,0,13230,0.42857142857142855,4.0,96630.0,12.42
17,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,0.0,47.6648,-122.343,1610,0,11200,0.5714285714285714,1.0,81330.0,4.0
18,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,291.85172397483797,1921,0.0,47.3089,-122.21,1060,0,8400,0.5714285714285714,1.0,45078.0,33.92
19,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,47.3343,-122.306,1280,0,8750,0.5714285714285714,1.0,46250.0,32.02
20,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,47.7025,-122.341,1400,0,11340,0.5714285714285714,3.0625,53836.0,7.75
21,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,2330,720.0,1968,0.0,47.5316,-122.233,4110,0,27450,0.3333333333333333,7.5625,126106.0,9.4
22,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,0.0,47.3266,-122.169,2240,0,18160,0.375,6.25,74144.0,32.06
23,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1985,0.0,47.3533,-122.166,1220,0,7490,0.42857142857142855,2.25,52713.0,29.12
24,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,0.0,47.3739,-122.172,2200,0,19600,0.5,5.0625,52713.0,26.8
25,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,0.0,47.3048,-122.218,1030,0,10260,0.8333333333333334,4.0,45078.0,34.39
26,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1915,0.0,47.6386,-122.36,1760,0,19600,0.375,3.0625,73794.0,1.29
27,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1909,0.0,47.6221,-122.314,1860,0,11200,0.625,1.0,103816.0,5.02
28,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1948,0.0,47.695,-122.304,1520,0,10640,0.42857142857142855,3.0625,92039.0,8.45
29,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,0.0,2005,0.0,47.7073,-122.11,2630,0,20560,0.375,6.25,106468.0,4.59
30,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,0.0,2003,0.0,47.5391,-122.07,2580,0,18560,0.375,6.25,102025.0,12.34
31,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,2005,0.0,47.7274,-122.357,1390,0,8330,0.42857142857142855,2.25,53836.0,10.15
32,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,820.0,1929,0.0,47.6823,-122.368,1460,0,16310,0.5714285714285714,3.0625,92316.0,5.06
33,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,0.0,1929,0.0,47.6889,-122.375,1570,0,8720,0.5,1.0,92316.0,5.75
34,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,1981,0.0,47.4276,-122.157,2020,0,14420,0.42857142857142855,7.5625,82134.0,21.02
35,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,790.0,1930,2002.0,47.6827,-122.31,1590,1,18400,0.375,6.25,92039.0,7.13
36,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,1,5,930,730.0,1933,0.0,47.6621,-122.132,2160,0,8300,0.2,1.0,106468.0,2.38
37,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,0.0,1904,0.0,47.6702,-122.362,1730,0,18880,0.5,4.0,77170.0,3.84
38,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1969,0.0,47.3341,-122.282,1290,0,8540,0.2857142857142857,1.0,71555.0,31.66
39,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,0.0,1996,0.0,47.5301,-122.18,2620,0,20960,0.375,6.25,73330.0,9.5
40,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,3,9,2570,0.0,2000,0.0,47.6145,-122.027,2470,0,23130,0.3333333333333333,6.25,145262.0,8.01
41,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,3,8,2600,1620.0,1984,0.0,47.445,-122.347,2410,0,33760,0.375,5.0625,66323.0,21.49
42,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,291.85172397483797,2014,0.0,47.6848,-122.016,3625,0,32355,0.3333333333333333,7.5625,120970.0,6.67
43,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,0.0,1922,0.0,47.6413,-122.364,1580,0,10990,0.42857142857142855,1.0,73794.0,1.09
44,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1959,0.0,47.4485,-122.175,1340,0,7680,0.6666666666666666,1.0,82134.0,18.53
45,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,3160,0.0,2003,0.0,47.7443,-121.977,3050,0,25280,0.375,6.25,96630.0,12.68
46,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1966,0.0,47.3066,-122.371,1228,0,5940,0.5,1.0,72303.0,36.4
47,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,2290,0.0,1981,0.0,47.6194,-122.151,2680,0,20610,0.4444444444444444,6.25,79579.0,2.59
48,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,0.0,1953,0.0,47.6796,-122.301,970,0,8750,0.5714285714285714,3.0625,92039.0,7.4
49,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,5,9,2165,588.0,1953,0.0,47.4041,-122.451,2680,0,24777,0.5555555555555556,6.25,71820.0,26.5
50,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1955,0.0,47.4258,-122.322,1190,0,8330,0.42857142857142855,1.0,46871.0,22.71
51,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1966,0.0,47.4934,-122.189,1990,0,25200,0.5,6.25,73330.0,13.45
52,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,410.0,1950,0.0,47.6808,-122.384,1410,0,9870,0.5714285714285714,3.0625,92316.0,4.88
53,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,990.0,1981,0.0,47.6989,-122.369,1480,0,13860,0.42857142857142855,3.0625,92316.0,6.89
54,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,600.0,1927,0.0,47.6571,-122.281,2730,0,21840,0.375,5.0625,49647.0,7.49
55,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,3,9,2830,0.0,1995,0.0,47.6597,-122.29,1950,0,25470,0.3333333333333333,6.25,49647.0,6.99
56,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2008,0.0,47.3663,-122.114,2250,0,15750,0.42857142857142855,6.25,89352.0,28.36
57,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2003,0.0,47.3663,-122.122,2690,0,19360,0.375,6.25,89352.0,28.22
58,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,3250,0.0,1968,0.0,47.588,-122.116,2960,0,26000,0.5,10.5625,86005.0,6.19
59,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,1991,0.0,47.5059,-122.149,2270,0,14800,0.375,9.0,93918.0,12.71
60,650000.0,3,2.25,2150,21235,1.0,0.0,3.0,4,8,1590,560.0,1959,0.0,47.4336,-122.339,2570,0,17200,0.5,5.0625,66323.0,22.46
61,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1954,0.0,47.4366,-122.335,1290,0,8820,0.42857142857142855,3.0625,46871.0,22.03
62,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,5,8,2519,0.0,1973,0.0,47.4428,-122.344,2500,0,20152,0.625,3.0625,66323.0,21.73
63,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,0.0,2014,0.0,47.6765,-122.32,1580,0,12320,0.375,3.0625,92039.0,6.12
64,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1979,0.0,47.6113,-122.297,1440,0,11620,0.42857142857142855,5.0625,60563.0,6.66
65,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1925,0.0,47.5747,-122.304,1440,0,19390,0.7142857142857143,7.5625,62633.0,8.66
66,975000.0,4,2.5,2720,11049,2.0,0.0,0.0,3,10,2720,0.0,1989,0.0,47.5815,-122.192,2750,0,27200,0.3,6.25,102374.0,3.72
67,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2005,0.0,47.3378,-122.257,2221,0,15680,0.42857142857142855,6.25,71555.0,30.96
68,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,0.0,1968,0.0,47.3621,-122.11,1010,0,7000,0.5714285714285714,1.0,89352.0,28.88
69,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,3,8,1600,1600.0,1965,0.0,47.6303,-122.215,3390,0,25600,0.375,5.0625,102374.0,1.99
70,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,4,11,3070,1700.0,1973,0.0,47.6525,-122.16,3530,0,52470,0.3636363636363637,10.5625,88940.0,4.28
71,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1972,0.0,47.7362,-122.179,1640,0,8820,0.5714285714285714,4.0,81694.0,9.71
72,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,500.0,1916,0.0,47.7168,-122.287,1510,0,19250,0.7142857142857143,4.0,54561.0,11.13
73,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2005,0.0,47.3608,-122.036,2420,0,19040,0.375,6.25,96134.0,30.73
74,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,1090,700.0,1965,0.0,47.3511,-122.073,1940,0,12530,0.7142857142857143,3.0625,89352.0,30.84
75,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,4,10,2390,1040.0,1986,0.0,47.5822,-121.987,3240,0,34300,0.4,16.0,150301.0,12.68
76,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1956,0.0,47.6034,-122.125,1680,0,12320,0.42857142857142855,3.0625,86005.0,4.82
77,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,0.0,1941,0.0,47.5636,-122.394,890,0,7280,0.42857142857142855,1.0,77781.0,8.28
78,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1956,0.0,47.7073,-122.34,1130,0,9870,0.5714285714285714,1.0,53836.0,8.28
79,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,3,10,3450,291.85172397483797,2002,0.0,47.342,-122.025,3350,0,34500,0.3,6.25,71563.0,32.98
80,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2003,0.0,47.3512,-122.008,2350,0,18800,0.375,6.25,96134.0,32.54
81,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1992,0.0,47.349,-122.031,1870,0,13300,0.42857142857142855,6.25,96134.0,32.09
82,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1948,0.0,47.5474,-122.291,1720,0,14140,0.42857142857142855,1.0,55725.0,9.85
83,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1964,0.0,47.4811,-122.149,1850,0,13440,0.375,2.25,93918.0,15.34
84,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1952,0.0,47.7264,-122.31,1570,0,5760,0.5,1.0,54561.0,10.76
85,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,240.0,1925,0.0,47.6337,-122.365,2020,0,19260,0.3333333333333333,2.25,73794.0,0.99
86,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1961,0.0,47.2909,-122.189,1590,0,18620,0.7142857142857143,5.0625,74144.0,35.94
87,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,3,9,1980,790.0,2006,0.0,47.5228,-122.199,1900,0,24930,0.3333333333333333,10.5625,73330.0,10.14
88,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1979,0.0,47.518,-122.194,1950,0,11270,0.5714285714285714,5.0625,73330.0,10.69
89,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,2006,0.0,47.5394,-122.387,1030,0,7210,0.42857142857142855,3.0625,90625.0,10.9
90,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1988,0.0,47.2897,-122.372,1980,0,13860,0.42857142857142855,6.25,72303.0,38.19
91,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,0.0,2001,0.0,47.6506,-122.391,2520,0,35200,0.4,7.5625,87486.0,1.82
92,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1200,0.0,1962,0.0,47.322,-122.351,1350,0,8400,0.42857142857142855,1.0,72303.0,34.28
93,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,47.687,-122.386,1570,0,12640,0.375,2.25,92316.0,5.58
94,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,47.687,-122.386,1570,0,12640,0.375,2.25,92316.0,5.58
95,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,2390,910.0,1946,1991.0,47.5873,-122.249,1950,1,23100,0.42857142857142855,6.25,126106.0,4.47
96,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1960,0.0,1967,0.0,47.3576,-122.277,1750,0,13720,0.42857142857142855,3.0625,49591.0,29.02
97,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1975,0.0,47.3036,-122.378,1160,0,8120,0.5714285714285714,2.25,72303.0,36.9
98,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,5,7,1210,600.0,1980,0.0,47.4109,-121.958,1650,0,12670,0.7142857142857143,3.0625,96134.0,28.68
99,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,3,9,2320,0.0,1992,0.0,47.4838,-121.714,2550,0,20880,0.3333333333333333,6.25,93380.0,35.43
100,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,1270,800.0,1910,0.0,47.6415,-122.315,2200,0,18630,0.5555555555555556,6.25,75155.0,4.68
101,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1440,540.0,1929,0.0,47.6775,-122.372,1610,0,13860,0.5714285714285714,4.0,92316.0,4.5
102,699950.0,3,2.25,2190,107593,2.0,0.0,0.0,4,8,2190,0.0,1983,0.0,47.7731,-122.08,2570,0,17520,0.5,5.0625,137900.0,11.95
103,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,2920,0.0,1950,2010.0,47.5814,-122.196,2370,1,23360,0.375,6.25,102374.0,3.67
104,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,3,7,1210,0.0,1954,0.0,47.4375,-122.184,1640,0,8470,0.42857142857142855,1.0,82134.0,19.68
105,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,4,8,1460,880.0,1978,0.0,47.4431,-122.133,2250,0,18720,0.5,6.25,82134.0,19.73
106,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1170,500.0,1939,0.0,47.6878,-122.38,1240,0,11690,0.5714285714285714,1.0,92316.0,5.63
107,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,0.0,1985,0.0,47.3813,-122.322,1270,0,9920,0.5,3.0625,55845.0,27.34
108,680000.0,4,2.5,3140,28037,2.0,0.0,0.0,4,10,3140,0.0,1991,0.0,47.7304,-122.082,2990,0,31400,0.4,6.25,137900.0,7.24
109,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,2030,0.0,1942,0.0,47.6417,-122.109,2500,0,14210,0.5714285714285714,3.0625,106468.0,2.83
110,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,2310,0.0,1984,0.0,47.5386,-122.053,1940,0,18480,0.375,6.25,102025.0,13.3
111,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,700,560.0,1905,0.0,47.6823,-122.349,1380,0,7560,0.8333333333333334,3.0625,81330.0,5.44
112,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1160,291.85172397483797,1980,0.0,47.3624,-122.031,1540,0,10780,0.5714285714285714,3.0625,96134.0,30.71
113,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1000.0,1971,0.0,47.5474,-122.295,2090,0,14560,0.42857142857142855,3.0625,53143.0,10.05
